Date,Step,Value
2021-10-19T02:45:08Z,Preparation of test data in ms:,599844
2021-10-19T02:45:08Z,Import and deploy scenario time ms: ,37265
2021-10-19T02:45:08Z,Overall benchmark time ms: ,1043728
2021-10-18T02:51:58Z,Preparation of test data in ms:,750794
2021-10-18T02:51:58Z,Import and deploy scenario time ms: ,37277
2021-10-18T02:51:58Z,Overall benchmark time ms: ,1283410
2021-10-17T02:45:03Z,Preparation of test data in ms:,623690
2021-10-17T02:45:03Z,Import and deploy scenario time ms: ,32420
2021-10-17T02:45:03Z,Overall benchmark time ms: ,1145598
2021-10-16T02:52:28Z,Preparation of test data in ms:,696246
2021-10-16T02:52:28Z,Import and deploy scenario time ms: ,37652
2021-10-16T02:52:28Z,Overall benchmark time ms: ,1247703
2021-10-15T02:40:38Z,Preparation of test data in ms:,473712
2021-10-15T02:40:38Z,Import and deploy scenario time ms: ,31010
2021-10-15T02:40:38Z,Overall benchmark time ms: ,837406
2021-10-14T02:47:59Z,Preparation of test data in ms:,737652
2021-10-14T02:47:59Z,Import and deploy scenario time ms: ,38590
2021-10-14T02:47:59Z,Overall benchmark time ms: ,1298885
2021-10-13T02:45:18Z,Preparation of test data in ms:,579860
2021-10-13T02:45:18Z,Import and deploy scenario time ms: ,36421
2021-10-13T02:45:18Z,Overall benchmark time ms: ,992239
2021-10-12T02:49:10Z,Preparation of test data in ms:,746892
2021-10-12T02:49:10Z,Import and deploy scenario time ms: ,38684
2021-10-12T02:49:10Z,Overall benchmark time ms: ,1322746
2021-10-11T02:43:21Z,Preparation of test data in ms:,529013
2021-10-11T02:43:21Z,Import and deploy scenario time ms: ,31120
2021-10-11T02:43:21Z,Overall benchmark time ms: ,930593
2021-10-10T02:39:08Z,Preparation of test data in ms:,476470
2021-10-10T02:39:08Z,Import and deploy scenario time ms: ,30721
2021-10-10T02:39:08Z,Overall benchmark time ms: ,830754
2021-10-09T02:39:50Z,Preparation of test data in ms:,496353
2021-10-09T02:39:50Z,Import and deploy scenario time ms: ,31536
2021-10-09T02:39:50Z,Overall benchmark time ms: ,876825
2021-10-08T02:48:47Z,Preparation of test data in ms:,727518
2021-10-08T02:48:47Z,Import and deploy scenario time ms: ,37234
2021-10-08T02:48:47Z,Overall benchmark time ms: ,1250200
2021-10-07T02:42:25Z,Preparation of test data in ms:,471664
2021-10-07T02:42:25Z,Import and deploy scenario time ms: ,31407
2021-10-07T02:42:25Z,Overall benchmark time ms: ,842804
2021-10-06T02:46:28Z,Preparation of test data in ms:,701201
2021-10-06T02:46:28Z,Import and deploy scenario time ms: ,38040
2021-10-06T02:46:28Z,Overall benchmark time ms: ,1243364
2021-10-05T02:38:10Z,Preparation of test data in ms:,440227
2021-10-05T02:38:10Z,Import and deploy scenario time ms: ,25441
2021-10-05T02:38:10Z,Overall benchmark time ms: ,779598
2021-10-04T02:45:05Z,Preparation of test data in ms:,530686
2021-10-04T02:45:05Z,Import and deploy scenario time ms: ,30987
2021-10-04T02:45:05Z,Overall benchmark time ms: ,991584
2021-10-03T02:42:57Z,Preparation of test data in ms:,596434
2021-10-03T02:42:57Z,Import and deploy scenario time ms: ,37363
2021-10-03T02:42:57Z,Overall benchmark time ms: ,1036905
2021-10-02T02:39:52Z,Preparation of test data in ms:,453890
2021-10-02T02:39:52Z,Import and deploy scenario time ms: ,30622
2021-10-02T02:39:52Z,Overall benchmark time ms: ,815042
2021-10-01T02:47:27Z,Preparation of test data in ms:,584653
2021-10-01T02:47:27Z,Import and deploy scenario time ms: ,37158
2021-10-01T02:47:27Z,Overall benchmark time ms: ,1001868
2021-09-30T02:49:03Z,Preparation of test data in ms:,709250
2021-09-30T02:49:03Z,Import and deploy scenario time ms: ,38339
2021-09-30T02:49:03Z,Overall benchmark time ms: ,1274944
2021-09-29T02:38:07Z,Preparation of test data in ms:,576513
2021-09-29T02:38:07Z,Import and deploy scenario time ms: ,36614
2021-09-29T02:38:07Z,Overall benchmark time ms: ,1002027
2021-09-28T02:44:54Z,Preparation of test data in ms:,635608
2021-09-28T02:44:54Z,Import and deploy scenario time ms: ,37167
2021-09-28T02:44:54Z,Overall benchmark time ms: ,1153892
2021-09-27T02:46:59Z,Preparation of test data in ms:,722214
2021-09-27T02:46:59Z,Import and deploy scenario time ms: ,38036
2021-09-27T02:46:59Z,Overall benchmark time ms: ,1286575
2021-09-26T02:44:08Z,Preparation of test data in ms:,663083
2021-09-26T02:44:08Z,Import and deploy scenario time ms: ,36888
2021-09-26T02:44:08Z,Overall benchmark time ms: ,1191510
2021-09-25T02:46:38Z,Preparation of test data in ms:,664632
2021-09-25T02:46:38Z,Import and deploy scenario time ms: ,37759
2021-09-25T02:46:38Z,Overall benchmark time ms: ,1197726
2021-09-24T02:45:08Z,Preparation of test data in ms:,680182
2021-09-24T02:45:08Z,Import and deploy scenario time ms: ,36733
2021-09-24T02:45:08Z,Overall benchmark time ms: ,1220637
2021-09-23T02:49:57Z,Preparation of test data in ms:,775475
2021-09-23T02:49:57Z,Import and deploy scenario time ms: ,43832
2021-09-23T02:49:57Z,Overall benchmark time ms: ,1367074
2021-09-22T02:45:39Z,Preparation of test data in ms:,654377
2021-09-22T02:45:39Z,Import and deploy scenario time ms: ,36696
2021-09-22T02:45:39Z,Overall benchmark time ms: ,1175764
2021-09-21T02:55:10Z,Preparation of test data in ms:,633849
2021-09-21T02:55:10Z,Import and deploy scenario time ms: ,37673
2021-09-21T02:55:10Z,Overall benchmark time ms: ,1796048
2021-09-20T02:50:46Z,Preparation of test data in ms:,523488
2021-09-20T02:50:46Z,Import and deploy scenario time ms: ,36419
2021-09-20T02:50:46Z,Overall benchmark time ms: ,1524796
